id,source,text,tip,sentiment,sarcasm
1987,instagram,Aco Srbin i dalje da pobeđuje samog sebe i nevidljive neprijatelje,politika,-1,1
7,youtube,"Da, uvek se divimo zapadu a nase mrzimo! Strasno obijasniti to",filmovi,-1,1
969,youtube,Malo jači od pavlake,muzika,0,1
634,youtube,"баш лепо, срце ми куца јаче",zabava,1,1
1187,youtube,Ovo se cekalooo,muzika,1,0
1748,youtube,Ova me pesma uvek podseća na ljeto,muzika,0,0
392,youtube,"Simpatičan film, ali su Ivkova slava ili Zone Zamfirova viši nivo. Cijenim vašu kinematografiju, daleko ste ispred nas, mi smo stali na Tko pjeva zlo ne misli i očito ćemo tu i ostati.",filmovi,1,0
1014,youtube,"Ovi performeri, nazvati ih amaterima uvreda bi bila za same amatere, očigledno su sve suprotno od onoga o čemu pjevaju",muzika,-1,1
197,youtube,10.41 ovaj most mi isti kao u ẓ̌ikinoj dinastiji kad žika kaẓ̌e otišao da vatam ribu,filmovi,0,0
332,youtube,Remasterizujte sveeee! Pliz!,filmovi,0,0
1345,youtube,"Kupio sam veliki zvučnik i pustam svako jutro kad se probudim ove pesme, ali najgore je što moram da objašnjavam mojima reči pesme da bi razumeli našu realnu sliku i situaciju u društvu.",muzika,0,1
956,youtube,Pozdrav iz hrvatske omiljena pjesma,muzika,1,0
1040,youtube,Od mene dislajk opet tres muzika,muzika,-1,0
1446,youtube,‍‍pesma kidaaaaaaaaaaaaaaààaaaaàaaaaaaaaaaaaaaaa!!,muzika,1,0
1007,youtube,Poruka ove pesme je da zene sto vise idu u teretanu,muzika,0,1
1578,youtube,Kad će druga epizoda i da li ćete objaviti sve epizode u HD,filmovi,0,0
906,youtube,"Kakoo sii iskidalaa ovoo, to nije normalnoo",muzika,1,0
1736,youtube,Ovo mora do 20 miliona,muzika,1,0
1763,twitter,"Na koja se imbecilna istraživanja pozivaju ovi degeni, baš nikom nije jasno?! Trebate da znate da su građani Srbije svesna bića.",politika,-1,0
513,youtube,Posle 15 godina ponovo gledam Yasserstaina..,zabava,1,1
1043,youtube,Kako da dislajkujem,muzika,-1,0
1219,youtube,Ovi nekršteni a o ribi pričaju,muzika,0,1
1680,youtube,Pričajte sta hocete al zarazno je,muzika,1,0
1865,twitter,"Taman da vam nesmetano na beli račun ležu crne pare iz inostranstva, za rušenje sosptvene države.",politika,-1,1
955,youtube,Koje budale ovo smatraju muzikom,muzika,-1,1
1397,youtube,Pesma ok a spot lele,muzika,0,0
780,youtube,Stavite rezultat u naslovu,sport,0,0
186,youtube,"Predivna serija. Snimljeno sve kako treba. Priča, glumci, kostimografija, produkcija, a muzika .. uh muzika je top .. a Brankica je …. Jao kako patim Pozdrav Iz Istre",filmovi,1,0
603,youtube,Sve suvo plačem prah ko iz peščanog sata,zabava,-1,1
607,youtube,A ćićo pošto peče zovu ga ćićo ćumur...,zabava,-1,1
909,youtube,razvavljuje jos jednom sa velikim hitom,muzika,1,0
40,youtube,Mi smo sedeli ovde i duvali smo....duvanili,filmovi,0,1
70,youtube,Film koji u svako doba mogu da gledam.,filmovi,1,0
821,youtube,Caci vs polu caci 3 0,sport,-1,1
144,youtube,definitvo nam treba jos neka serija sa brankicom i bikovicem,filmovi,1,0
1740,youtube,Za mog druga nije losa pesma pošto voli žene u kupaćem da gleda,muzika,-1,1
813,youtube,"Није срамота изгубити, срамота је изгубити као СНС фРАЊАА КОЈИ ПЛАЧЕ ОД беса.",sport,-1,1
60,youtube,Beogradsko preseravanje,filmovi,-1,0
1478,youtube,Ova pesma me dize u nebesaa,muzika,1,1
1787,twitter,Nemojte da me maltretirate sa ocuvanjem prirode,politika,1,1
1562,youtube,Dugo se nisam ovako nasmijao,zabava,1,0
424,youtube,Moj najdrazi Film,filmovi,0,0
432,youtube,Obozavam ovaj film,filmovi,1,0
47,youtube,Vodi je u mrak da ti sija,filmovi,1,1
904,youtube,Jeftino otprilike 2 dinara i dobar iphone spot. nemas li ti 30 godina? Sta je ovo,muzika,-1,1
