id,source,text,topic,sentiment,sarcasm
tw-00001,twitter,"Istina,dozvolila je sebi da im strani agenti zavedu dobar deo studenata i omladine, ubedi ih da ustanu protiv države! To treba pod hitno da se reši!",politika,-1,0
tw-00002,twitter,Smišljate bajke i valjate propagandu jer vas hvata panika od istine,politika,-1,1
tw-00003,twitter,"A izvinite, u kom to smeru treba da ide? Možda u ukrajinskom, da finansiramo prozapadne hladne ratove i od Srbije pravimo briselsku koloniju za migrante i EU otpad?",politika,-1,1
tw-00008,twitter,Mediji bi trebalo da pruže više konteksta a manje bombastičnih naslova koji izazivaju podele!,politika,-1,0
tw-00009,twitter,Svaki put isto Srbija ide u lošem smeru A kad vam se nešto sviđa onda je metodologija sumnjiva. Hipokriti.,politika,-1,1
tw-00011,twitter,"Svako istraživanje treba posmatrati kroz metodologiju, a ne predstavljati ga kao apsolutnu istinu!",politika,0,0
tw-00015,twitter,Hvala N1 što nam svaki dan javljate kako nam je loše. Bez vas ne bismo ni znali da smo nesrećni.,politika,-1,1
tw-00017,twitter,Jedno istraživanje ne može da predstavlja mišljenje svih građana Srbije!,politika,-1,0
tw-00018,twitter,"Naslov zvuči senzacionalistički! Bilo bi korisno objaviti i uzorak, način anketiranja i marginu greške!",politika,0,1
tw-00023,twitter,"Vi i vasa lazna istrazivanja, i to obavezno negativna za Srbiju, a pozitivna za blokadere.",politika,-1,0
tw-00025,twitter,Srbija ide u odlicnom smeru! Los smer bi bio da nam se desio Madjarski scenario,politika,1,1
tw-00027,twitter,Srbija ide napred u bolju budućnost i u pravom smeru.,politika,1,0
tw-00028,twitter,"Na koja se imbecilna istraživanja pozivaju ovi degeni, baš nikom nije jasno?! Trebate da znate da su građani Srbije svesna bića.",politika,-1,0
tw-00031,twitter,"Kako jeftini trikovi ""Istraživanje: u krugovima potplaćenih i imbecilnih"", bljak.",politika,-1,1
tw-00032,twitter,Bas me zanima ko je istrazivao!Ovu N1 prvo ukinuti pa sve ostale blokaderske medije.,politika,-1,1
